Term [en-US],Term [ar],Term [zh-CN],Term [zh-TW],Term [nl-NL],Term [fr],Term [de-DE],Term [el-GR],Term [ha-NG],Term [hi-IN],Term [hu-HU],Term [id-ID],Term [it-IT],Term [ja-JP],Term [ko-KR],Term [fa-AF],Term [ms-MY],Term [pcm],Term [pl-PL],Term [pt-BR],Term [ro-RO],Term [ru-RU],Term [es-419],Term [tl],Term [th-TH],Term [tr-TR],Term [uk-UA],Term [vi-VN],Term [en-GB]
airdrop,توزيع مجاني,空投,空投,airdrop,airdrop,Airdrop,τακτική airdrop,Saukar iska da nufin kasuwanci,एयरड्रॉप,airdrop,airdrop,airdrop,エアドロップする,에어드롭,ایردراپ,airdrop,Free crypto dash,Airdrop,airdrop,a face/efectua etc. un airdrop,аирдропнуть,airdrop,airdrop,แอร์ดรอป,airdrop,ейрдроп,tặng,
AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,AirGap Vault,
AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,AirSwap,
Alerts,تنبيهات,提醒,提醒,waarschuwingen,Alertes,Benachrichtigungen,Alerts (Ειδοποιήσεις),Gargadin,एलर्ट,Figyelmeztetések,Peringatan ,Avvisi,アラート,경고,هشدارها,Peringatan,Alert,Alerty,Alertas,Alerte,Оповещения,alertas,Mga Alerto,การเตือน,Uyarılar,Сповіщення,Cảnh báo,
algorithm,خوارزمية,算法,算法,algoritme,algorithme,Algorithmus,αλγόρυθμος,hanyar shawo kan matsala ,एल्गोरिथम,algoritmus,algoritma,algoritmo,アルゴリズム,알고리즘,الگوریتم,algoritma,Formula wey dey run di show,Algorytm,algoritmo,algoritm,алгоритм,algoritmo,algoritmo,อัลกอริทึม,algoritma,алгоритм,thuật toán,
altcoin,عملة بديلة,山寨币,山寨幣,altcoin,altcoin,Altcoin,altcoin,Sikka daban ban da Bitcoin ,ऑल्टकॉइन,altcoin,altcoin,altcoin,アルトコイン,알트코인,آلتکوین,altcoin,Oga coin wey no be Bitcoin,Altcoin,altcoin,altcoin,альткоин,altcoin,altcoin,อัลต์คอยน์,altcoin,альткойн,tiền thay thế,
AML,مكافحة غسيل الأموال,反洗钱（AML）,反洗錢,"witwasbestrijding (AML, anti-money laundering)",AML (lutte contre le blanchiment d’argent),AML (Geldwäschebekämpfung),AML Καταπολέμηση της νομιμοποίησης εσόδων από παράνομες δραστηριότητες),Yaki da wanke kuɗade (AML),AML (एंटी-मनी लॉन्ड्रिंग),AML (pénzmosás elleni küzdelem),AML (Anti-Pencucian Uang),AML (Antiriciclaggio),AML (マネーロンダリング対策),AML(자금세탁방지),AML (مبارزه با پولشویی),AML (Anti Penggubahan Wang Haram),Block Mago-Mago Money,AML (przeciwdziałanie praniu pieniędzy),PLD (prevenção à lavagem de dinheiro),AML (combaterea spălării banilor),БОД (борьба с отмыванием денег),"prevención de lavado de dinero (AML, por sus siglas en inglés)",AML (Anti-Money Laundering),AML (การต่อต้านการฟอกเงิน),AML (Kara Para Aklamanın Önlenmesi),AML (Боротьба з відмиванням грошей),AML (Chống rửa tiền),
API,API,API,API,API,API,API,API,API,API,API,API,API,API,API,API,API,API,API,API,API,API,API,API,API,API,API,API,
appchain,AppChain,AppChain,AppChain,AppChain,AppChain,AppChain,AppChain,AppChain,AppChain,AppChain,AppChain,AppChain,AppChain,AppChain,AppChain,AppChain,AppChain,AppChain,AppChain,AppChain,AppChain,AppChain,AppChain,AppChain,AppChain,AppChain,AppChain,
Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,Apple Pay,
Approve,موافقة,批准,同意,goedkeuren,Approuver,Genehmigen,Approve (Έγκριση),Amince,एप्रूव करें,jóváhagyás,Setujui,Approva,承認,승인,تایید,Luluskan,Approve,Akceptuj,Aprovar,Aprobă,Одобрить,aprobar,Aprubahan,อนุมัติ,Onayla,Схвалити,Chấp thuận,
Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,Arbitrum,
ASIC,الدائرة المتكاملة الخاصة بالتطبيق (ASIC),ASIC（专用集成电路）,特定應用積體電路,ASIC (application-specific integrated circuit),ASIC (circuit intégré spécifique à une application),ASIC (Anwendungsspezifische integrierte Schaltung),ASIC (Application Specific Integrated Circuit),Kayan sarrafa da aka tsara musamman (ASIC),ASIC (एप्लीकेशन स्पेसिफिक इंटीग्रेटेड सर्किट),ASIC (alkalmazásspecifikus integrált áramkör),ASIC (Sirkuit Terpadu Khusus Aplikasi),ASIC (circuito integrato per applicazione specifica),ASIC (特定用途向け集積回路),ASIC(주문형 반도체),ای‌سیک(مدارهای مجتمع با کاربرد خاص),ASIC (Litar Bersepadu Khusus Aplikasi),Special chip wey dey mine coin fast fast,ASIC (specjalizowany układ scalony),ASIC (circuito integrado de aplicação específica),ASIC (Circuit integrat specific aplicației),ASIC (специальная интегральная схема),ASIC (circuito integrado de aplicación específica),ASIC (Application Specific Integrated Circuit),ASIC (วงจรรวมเฉพาะแอปพลิเคชัน),ASIC (Uygulamaya Özel Tümleşik Devre),ASIC (спеціалізована інтегральна схема),ASIC (Mạch tích hợp chuyên dụng),
asset provenance,منشأ الأصل,资产来源,資產溯源,herkomst van asset,provenance de l’actif,Herkunft des Assets,προέλευση περιουσιακών στοιχείων,Asalin Mallaka,एसेट प्रोवेनेंस,eszköz eredete,asal usul aset,provenienza dei fondi,資産の来歴追跡,자산 출처,منشأ دارایی,asal aset,History of di asset,Pochodzenie aktywów,origem do ativo,proveniența activelor,происхождение активов,procedencia de los activos,pinagmulan ng asset,ที่มาของสินทรัพย์,Varlık Kökeni,походження активів,nguồn gốc tài sản,
attestation,المصادقة,见证,證明,attestatie,attestation,Bestätigung,επιβεβαίωση,Tabbatarwa,अटेस्टेशन,tanúsítvány,pengesahan,attestazione,証明,증명,گواهی,pengesahan,Proof sey something dey legit,Poświadczenie,atestado,atestare,аттестация,atestación,pagpapatunay,การลงนามรับรอง,tasdik,атестація,chứng thực,
Aurora,Aurora,Aurora,Aurora,Aurora,Aurora,Aurora,Aurora,Aurora,Aurora,Aurora,Aurora,Aurora,Aurora,Aurora,Aurora,Aurora,Aurora,Aurora,Aurora,Aurora,Aurora,Aurora,Aurora,Aurora,Aurora,Aurora,Aurora,
Autodetection,كشف تلقائي,自动检测,自動偵測,automatische detectie,Détection automatique,Automatische Erkennung,Autodetection (Αυτόματος εντοπισμός),Ganota kasancewar walat ta atomatik,ऑटोडिटेक्शन,Automatikus felismerés,Autodeteksi,Autorilevazione,自動検出,Autodetection,تشخیص خودکار,Pengesanan automatik,Auto find network,Autowykrywanie,Detecção automática,Detecție automată,Автоопределение,autodetección,Awtomatikong pagtuklas,การตรวจจับอัตโนมัติ,Otomatik algılama,Автовизначення,Tự động phát hiện,
Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,
AVAX,AVAX,AVAX,AVAX,AVAX,AVAX,AVAX,AVAX,AVAX,AVAX,AVAX,AVAX,AVAX,AVAX,AVAX,AVAX,AVAX,AVAX,AVAX,AVAX,AVAX,AVAX,AVAX,AVAX,AVAX,AVAX,AVAX,AVAX,
Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,
Backup,نسخ احتياطي,备份,備份,back-up (noun)/back-up maken (verb phrase),Sauvegarde,Backup,Δημιουργία αντιγράφων ασφαλείας,Ƙirƙiri madadin,बैकअप करें,biztonsági mentés,Cadangan,Backup,バックアップ,백업,پشتیبان,Sandaran,Backup,Kopia zapasowa,de backup,Backup,Создать резервную копию,de respaldo,Backup,สำรองข้อมูล,Yedek,Резервне копіювання,Sao lưu,
Balance,الرصيد,余额,餘額,saldo,Solde,Kontostand,Balance (Υπόλοιπο),Ragowar Asusu,बैलेंस,egyenleg,Saldo,Saldo,残高,잔액,موجودی,Baki,Your crypto balance,Saldo,Saldo,Balance,Баланс,saldo,Balanse,ยอดคงเหลือ,Bakiye,Баланс,Số dư,
Banxa,Banxa,Banxa,Banxa,Banxa,Banxa,Banxa,Banxa,Banxa,Banxa,Banxa,Banxa,Banxa,Banxa,Banxa,Banxa,Banxa,Banxa,Banxa,Banxa,Banxa,Banxa,Banxa,Banxa,Banxa,Banxa,Banxa,Banxa,
Base fee,الحد الأدنى للرسوم,基础费用,基本費用,Base fee,Frais de base,Grundgebühr,Βασική αμοιβή,Kuɗin aiki na farko,बेस फी,alapdíj,Biaya dasar,Commissione di base,基本料金,기본 요금,کارمزد پایه,Bayaran asas,Small money wey you gats pay to use di network,opłata bazowa,Taxa base,Comision de bază,Базовая комиссия,tarifa base,Batayang bayad,ค่าแก๊สพื้นฐาน,Baz ücret,Базова комісія,Phí cơ sở,
Beacon Chain,سلسلة المنارة (Beacon),信标链,信標鏈,Beacon Chain,Chaîne phare,Chaîne phare,Κύρια αλυσίδα,Sarkar Jagora,बीकन चेन,Beacon-lánc,Beacon Chain,Beacon Chain,ビーコンチェーン,비콘 체인,بیکن چین,Beacon Chain,Chain wey dey guide di main network,Łańcuch śledzący (beacon chain),Beacon Chain,Beacon Chain,Бикончейн,cadena Beacon,Beacon Chain,Beacon Chain,İşaret Zinciri,Beacon Chain,Chuỗi Beacon,
Besu,Besu,Besu,Besu,Besu,Besu,Besu,Besu,Besu,Besu,Besu,Besu,Besu,Besu,Besu,Besu,Besu,Besu,Besu,Besu,Besu,Besu,Besu,Besu,Besu,Besu,Besu,Besu,
Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,
Biometrics,المقاييس الحيوية,Biometrics,生物識別技術,biometrie,Biométrie,Biometrisch,Βιομετρικά δεδομένα,Binciken Jiki,बायोमेट्रिक्स,biometrikus adatok,Biometrik,Biometria,生体認証,바이오메트릭,بیومتریک,Biometrik,Fingerprint or Face Unlock,Uwierzytelnianie biometryczne,Biometria,Biometrie,Биометрия,biometría,Biometrics,ชีวมิติ,Biyometri,Біометрія,Sinh trắc học,
Bitcoin,بيتكوين,比特币,比特幣,bitcoin,Bitcoin,Bitcoin,Bitcoin,Bitcoin (BTC),Bitcoin,Bitcoin,Bitcoin,Bitcoin,ビットコイン,비트코인,بیت‌کوین,Bitcoin,Bitcoin,Bitcoin,Bitcoin,Bitcoin,Биткойн,Bitcoin,Bitcoin,บิตคอยน์,Bitcoin,Біткойн,Bitcoin,
block,كُتلة,区块,區塊,blok,Bloc (nom),Block,ομάδα καταχωρίσεων,Sashe,ब्लॉक (नाउन),blokk,block (noun),blocco (noun),ブロック,블록(명사),بلاک,blok,Piece of di record,Blok,bloco,bloc,блок,bloque,block (pangngalan),บล็อก,blok,блок,khối (danh từ),
block explorer,مستكشف البلوكتشين,区块浏览器,區塊鏈瀏覽器,blokverkenner,Explorateur de blocs,Block-Explorer,εξερευνητής ομάδας καταχωρίσεων,Mai binciken sarkar,ब्लॉक एक्सप्लोरर,blokk felfedező,block explorer,block explorer,ブロックエクスプローラー,블록 탐색기,مرورگر بلاک,block explorer,Oga tool wey dey find crypto waka waka,Eksplorator bloków,explorador de blocos,block explorer,обозреватель блоков,explorador de bloques,block explorer,ส่วนอธิบายบล็อก,blok gezgini,оглядач блоків,trình khám phá khối,
block height,موقع الكتلة,区块高度,區塊高度,blokhoogte,hauteur de bloc,Blockhöhe,ύψος ομάδας καταχωρίσεων,Tsawon sashe,ब्लॉक हाइट,blokk magasság,ketinggian block,altezza del blocco,ブロックの高さ,블록 높이,ارتفاع بلاک,ketinggian blok,block level,Wysokość bloku,altura do bloco,înălțimea blocului,высота блока,altura del bloque,taas ng block,เลขบล็อก,blok yüksekliği,висота блоку,chiều cao khối,
block reward,مكافأة الكتلة,区块奖励,出塊獎勵,blokbeloning,récompense de bloc,Blockbelohnung,ανταμοιβή ομάδας καταχωρίσεων,Ladan da ake samu daga sashe,ब्लॉक रिवॉर्ड,blokkjutalom,imbalan block,ricompensa del blocco,ブロック報酬,블록 보상,پاداش بلاک,ganjaran blok,Moni wey dem dey give for mining block,Nagroda za blok,recompensa do bloco,recompensa blocului,вознаграждение за блок,recompensa por bloque,gantimpala ng block,รางวัลการขุดบล็อก,blok ödülü,винагорода за блок,phần thưởng khối,
block time,وقت الكتلة,区块间隔,出塊時間,bloktijd,délai du bloc,Blockzeit,χρόνος ομάδας καταχωρίσεων,Lokacin sashe,ब्लॉक टाइम,blokkidő,waktu block,orario creazione blocco,ブロックタイム,블록타임,زمان بلاک,masa blok,How long e take to find one block,Czas wydobycia bloku,tempo do bloco,durata blocului,время блока,tiempo del bloque,oras ng block,ระยะเวลาบล็อก,blok süresi,час блокування,thời gian đóng khối,
Blockaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blockchain,البلوكتشين,区块链,區塊鏈,blockchain,Chaîne de blocs / Blockchain,Blockchain,αλυσίδα κατανεμημένης εγγραφής,Sarkar dijital,ब्लॉकचेन,blokk lánc,blockchain,blockchain,ブロックチェーン,블록체인,بلاک‌چین,rantaian blok,Block to block record wey no fit change,Blockchain (łańcuch bloków),blockchain,blockchain,блокчейн,cadena de bloques,blockchain,บล็อกเชน,blokzinciri,блокчейн,chuỗi khối,
blockchain explorer,مستكشف البلوكتشين,区块链浏览器,區塊鏈瀏覽器,blockchain-verkenner,Explorateur de blockchain,Blockchain-Explorer,Εξερευνητής αλυσίδας κατανεμημένης εγγραφής,Mai binciken kasuwanci na dijital,ब्लॉकचेन एक्सप्लोरर,blokklánc felfedező,Blockchain explorer,Blockchain explorer,ブロックチェーンエクスプローラー,블록체인 탐색기,مرورگر بلاک‌چین,Blockchain explorer,Oga tool wey dey find crypto waka waka,Eksplorator blockchain,Explorador de blockchain,Blockchain explorer,Обзреватель блокчейна,explorador de cadenas de bloques,Blockchain explorer,ส่วนอธิบายบล็อกเชน,Blokzinciri gezgini,Блокчейн-оглядач,Trình khám phá chuỗi khối,
blockchain trilemma,المعضلة الثلاثية الأبعاد لسلاسل البلوكتشين,区块链三难困境,區塊鏈的三難困境,blockchain-trilemma,Trilemme de la blockchain,Blockchain-Trilemma,τρίλημα αλυσίδας κατανεμημένης εγγραφής,Matsalar uku na sarkar tubuka,ब्लॉकचेन ट्राइलेमा,blokklánc trilemma,blockchain trilema,Trilemma della blockchain,ブロックチェーンのトリレンマ,블록체인 트릴레마,سه‌گانه بلاک‌چین,trilema rantaian blok,Three hard things wey blockchain dey fight,Trylemat łańcucha bloków,trilema de blockchain,Trilema blockchain,трилемма блокчейна,trilema de la cadenas de bloques,blockchain trilemma,บล็อกเชนตรีบถ,blokzinciri çıkmazı,трилема блокчейна,bộ ba bất khả thi của chuỗi khối,
Blockies,كُتل مصغرة,Blockies,Blockies,blockies,Blockies,Blockies,Blockies,Blockies,ब्लॉकीज़,Blockies,Blockies,Blockies,Blockies,블로키,Blockies,Blockies,Profile picture for your account,Blockies,Blockies,Blockies,Blockies,Blockies,Blockies,บล็อกกี้,Blockies,Blockies,Blockies,
blue fox,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB,BNB,BNB,BNB,BNB,BNB,BNB,BNB,BNB,BNB,BNB,BNB,BNB,BNB,BNB,BNB,BNB,BNB,BNB,BNB,BNB,BNB,BNB,BNB,BNB,BNB,BNB,BNB,
BNB Chain,BNB Chain,BNB Chain,BNB Chain,BNB Chain,BNB Chain,BNB Chain,BNB Chain,BNB Chain,BNB Chain,BNB Chain,BNB Chain,BNB Chain,BNB Chain,BNB Chain,BNB Chain,BNB Chain,BNB Chain,BNB Chain,BNB Chain,BNB Chain,BNB Chain,BNB Chain,BNB Chain,เชน BNB,BNB Chain,BNB Chain,BNB Chain,
bounty,مكافأة / مكافأة اكتشاف الخلل,赏金 / 漏洞赏金,懸賞/漏洞懸賞,bounty/bug bounty,prime/prime de bug,Belohnung / Fehlerbelohnung,επιβράβευση / επιβράβευση σφαλμάτων,Lada don nemo kurakurai,बाउंटी / बग बाउंटी,bounty/bug bounty,bounty / bug bounty,bounty / bug bounty,バウンティ / バグバウンティ,바운티 / 버그바운티,پاداش پیدا کردن اشکال,ganjaran / ganjaran pepijat,Moni wey dem dey go give if you see bug,Nagroda bug bounty,recompensa / recompensa por bugs,bounty / bug bounty,вознаграждение / вознаграждение за уязвимость,recompensa por errores,bounty / bug bounty,รางวัล / รางวัลรายงานช่องโหว่,bounty / hata ödülü,винагорода за помилку/винагорода за виявлення вразливостей,tiền thưởng/tiền thưởng nhờ tìm ra lỗi,
brain wallet,محفظة الدماغ,脑钱包,腦錢包,brainwallet,portefeuille mnémotechnique,Brain-Wallet,πορτοφόλι με φράσεις πρόσβασης,Walat da ba a rubuta ba,ब्रेन वॉलेट,brain wallet,brain wallet,brain wallet,ブレインウォレット,브레인월렛,کیف پول ذهنی,dompet otak,Secret code wey you keep in your head,Brain wallet,brain wallet,brain wallet,брейн-кошелек,monedero memorizado,brain wallet,วอลเล็ตความจำ,beyin cüzdanı,мозковий гаманець,ví trí nhớ,
Brave,Brave,Brave,Brave,Brave,Brave,Brave,Brave,Brave,Brave,Brave,Brave,Brave,Brave,Brave,Brave,Brave,Brave,Brave,Brave,Brave,Brave,Brave,Brave,Brave,Brave,Brave,Brave,
bridge,جسر,跨链桥,跨鏈橋,brug,Passerelle,Bridge,Γέφυρα,Hanyar musayar kadarori tsakanin sarkarori,ब्रिज,Bridge,Bridge,Bridge,ブリッジ,브릿지,پل,Jambatan,Oga platform wey move your crypto between networks,Most,Ponte,Pod,Мост,puente,Bridge,Bridge,Köprü,Міст,Cầu,
browser,متصفح,浏览器,瀏覽器,browser,Navigateur,Browser,Πρόγραμμα περιήγησης,Bincike,ब्राउज़र,böngésző,Browser,Browser,ブラウザ,브라우저,مرورگر,Pelayar,Web browser wey you dey use,Przeglądarka,Navegador,Browser,Браузер,navegador,Browser,เบราว์เซอร์,Tarayıcı,Браузер,Trình duyệt,
BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,
Bug Report,تقرير الأخطاء,错误报告,故障報告,foutenrapport,Signalement de bogues,Fehlerbericht,Αναφορά σφάλματος,Rahoto Kan Kuskure,बग रिपोर्ट,Hibajelentés,Laporan Bug,Segnalazione bug,バグの報告,버그 리포트,گزارش اشکال,Laporan pepijat,Report problem,Zgłaszanie błędów,Relatório de bug,Raport erori,Отчет об ошибке,informe de errores,Ulat ng Bug,รายงานข้อบกพร่อง,Hata Raporu,Звіт про помилку,Báo lỗi,
