Term,Part of speech,Term Category,Phonetic,Definition,Source,Date first recorded
base fee,noun,decentralized web,/ˈbeɪs fiː/,Every block has a reserve price known as the 'base fee'. It is the minimum gas fee a user must pay to include a transaction in the next block.,,
block,noun,decentralized web,/blɑk/,"If we think of a blockchain as consisting of a ledger that is being constantly synced between any number of different nodes (indeed, 'distributed ledger technology' is another phrase used to describe it), imagine that after a certain number of transactions have been added to the ledger and consensus has been reached among the nodes that the transactions are valid, then they are cryptographically locked into a 'block' and officially recorded; this 'block' forms the basis for the next one; in this way, they are all linked together in a chain, hence--blockchain.",,
block explorer,noun,decentralized web,/blɑk ɪkˈsplɔrər/,"A blockchain explorer is an application, most often a website along with a corresponding API, that displays information about blockchain activity in a more human-friendly way. While a blockchain is designed to keep information forever, and be “readable by anyone”, finding the specific information you’re interested in may require indexing data off the blockchain–that is, sorting it according to given categories (sender address, token type, etc) into a separate database which can then be queried by the user; this essential function is provided by blockchain explorers. A prominent example is etherscan, which also offers explorers on a number of other networks.",,
block height,noun,decentralized web,/blɑk haɪt/,"The number of blocks connected together in the blockchain. For example, Height 0 would be the very first block, which is also called the Genesis Block.",,
block reward,noun,decentralized web,/blɑk rɪˈwɔrd/,"The reward given to a miner or validator after it has successfully hashed a transaction block. Block rewards can be a mixture of coins and transaction fees. The composition depends on the policy used by the cryptocurrency in question, and whether all of the coins have already been successfully mined. The current block reward for the Bitcoin network is 12.5 bitcoins per block.",,
block time,noun,decentralized web,/blɑk taɪm/,"When we talk about 'block time', we're referring to how long it takes for a block of transactions (see 'block') to be confirmed by the network, either by miners under PoW or by validators under PoS. See also 'Proof of Work', 'Proof of Stake'.",,
blockchain,noun,decentralized web,/ˈblɑkˌtʃeɪn/,"A digital ledger comprised of unchangeable, digitally recorded data in packages called blocks. Each block is ‘chained’ to the next block using a cryptographic signature. Ethereum is a public blockchain, open to the world; its digital ledger is distributed, or synced, between many nodes; these nodes arrive at consensus regarding whether a transaction is valid before encrypting it, along with a number of other valid transactions, into a block. For more on blockchain technology, see here. See also 'block'.",,
blockchain explorer,noun,decentralized web,/ˈblɑkˌtʃeɪn ɪkˈsplɔrər/,"A blockchain explorer is an application, most often a website along with a corresponding API, that displays information about blockchain activity in a more human-friendly way. While a blockchain is designed to keep information forever, and be 'readable by anyone', finding the specific information you're interested in may require indexing data off the blockchain--that is, sorting it according to given categories (sender address, token type, etc) into a separate database which can then be queried by the user; this essential function is provided by blockchain explorers. A prominent example is etherscan, which also offers explorers on a number of other networks.",,
blockchain trilemma,noun,decentralized web,/ˈblɑkˌtʃeɪn traɪˈlɛmə/,"Tradeoffs facing those building public blockchain networks vis-a-vis three elements: decentralization, security, and scalability (or speed). These three elements are either necessary or desireable in public distributed networks, and often, designing a system that optimizes for one compromises on another.",,
brain wallet,noun,decentralized web,/breɪn ˈwɔlɪt/,"A blockchain account generated from a seed phrase or password or passphrase of your choosing. Humans are not capable of generating enough entropy, or randomness, and therefore the wallets derived from these phrases are insecure; brain wallets can be brute forced by super fast computers. For this reason, brain wallet are insecure and should not be used. See also 'Seed phrase / Secret Recovery Phrase'.",,
bridge,noun,decentralized web,/brɪdʒ/,"A bridge is a tool built to move assets from one network to another. It’s also a verb, used to describe that action: “I bridged my ETH from Ethereum mainnet to Arbitrum.” Not all bridges are created equal, and you should be informed about what you’re doing before you use one..  Guide to bridges.  also MetaMask Bridge",,
buidl,noun,decentralized web,/ˈbɪdl/,"Ostensibly coined (see what we did there) by Gitcoin's Kevin Owocki. It reflects the Ethereum-focused mindset of not just investing in a cryptocurrency as a store of value, but rather investing in it as an ecosystem and a platform for public goods and software; it complements, in this sense, the now-infamous HODL.",,
Byzantium fork,noun,decentralized web,/bɪˈzæn.ti.əm fɔːrk/,"A 'hard fork' in the Ethereum network that occurred in October of 2017. For detailled information, see here; see also 'hard fork'.",,
centralized exchange,noun,decentralized web,"/ˌsɛntrəˈlaɪzd ɪkˈstʃeɪndʒ/, /ˈsiːˈɛks/","A centralized exchange (CEX) is a cryptocurrency exchange that is operated and controlled by a centralized entity. In a CEX, the exchange company or organization acts as an intermediary between buyers and sellers, holding and managing the assets on behalf of its users. Centralized exchanges typically offer a wide range of trading pairs, with many popular cryptocurrencies available for trade. They also usually have high liquidity and offer advanced trading features such as margin trading, order types, and charting tools. However, centralized exchanges also have several drawbacks. They are often targeted by hackers, as the centralized nature of the exchange makes them a single point of failure. They also require users to trust the exchange to hold their funds securely and execute trades fairly, which can be a source of concern for some users.",,
CEX,noun,decentralized web,/ˈsiːˈɛks/,Acronym; see 'Centralized Exchange'.,,
chain ID,noun,decentralized web,/tʃeɪn ˈaɪˈdiː/,"A chain ID is a unique identifier that represents a blockchain network. We use it to distinguish different blockchain networks from each other and to ensure that transactions and messages are sent to the correct network. Ethereum networks have two identifiers, a network ID and a chain ID. Although they often have the same value, they have different uses. Peer-to-peer communication between nodes uses the network ID, while the transaction signature process uses the chain ID",,
client,noun,decentralized web,"/ˈklaɪənt/, /ɪˈθiːriəm ɔːr ˈʌðər kəmˈpætəbl ˈblɒkˌtʃeɪn/","In computing in general, a 'client' is a program, running on a local computer, that is accessing data made available by a remote computer. In public blockchain networks, a 'client' is the software that actually does the work of syncing block data, confirming transactions, participating in network consensus, and running any virtual machine or logic processes, if applicable. A client usually includes a cryptocurrency software wallet.",,
coin,noun,decentralized web,/kɔɪn/,"The term 'coin' has some nuances. Strictly speaking, a 'coin' could be defined as: A fungible token (all of them identical) issued on a blockchain, either as the network's transactional token, or through a smart contract deployed to that network. Some people may use 'coins' as shorthand for 'bitcoin'; the immortal aphorism 'not your keys, not your coins' refers to bitcoins. Another thing to keep in mind is that, while coins are put forward as some sort of representation of value, that value can vary wildly from one 'coin' to another. A coin may represent the value of the computational resources of the network, or it may be 'pegged' to represent fiat currency value, or it may float according to the value placed on immaterial resources like NFTs, membership, or digital goods, to name a few.",,
cold storage,noun,decentralized web,/koʊld ˈstɔrɪdʒ/,"cold wallet/cold storage: An offline wallet that is never connected to the internet. These wallets protect cryptocurrencies from getting hacked online. For more information, check out MetaMask's Hardware Wallet Hub: Hardware Wallet Hub",,
cold wallet,noun,decentralized web,/koʊld ˈwɔlɪt/ /koʊld ˈstɔrɪdʒ/,"An offline wallet that is never connected to the internet. These are often referred to as ""airgapped"" or ""cold storage"" wallets; the usage of temperature as a metaphor is to indicate both the ease with which the assets held in accounts by the wallet can be used on a network, as well as an indicator of risk. The idea here is that a ""hot"" wallet, connected to the Internet, is ""ready to use on chain"", and also has a higher risk of being compromised by bad actors. Cold storage wallets, therefore, offer much greater protection for crypto-held assets and tokens.",,
confirmation,noun,decentralized web,/ˌkɒnfərˈmeɪʃən/,"A confirmation happens when a network has verified a blockchain transaction. Under a Proof of Work (PoW) consensus mechanism, this happens through a process known as mining; under Proof of Stake (PoS), the process is known as validation. Once a transaction is successfully confirmed, it theoretically cannot be reversed or double spent. The more confirmations a transaction has, the harder it becomes to perform a double spend attack.",,
consensus,noun,decentralized web,/kənˈsɛnsəs/,"The process used by a group of peers, or nodes, on a blockchain network to agree on the validity of transactions submitted to the network. The consensus layer is responsible for validating and verifying transactions and blocks, and for coordinating communication between nodes to achieve consensus. In a blockchain network, the consensus layer is implemented by the consensus protocol or algorithm that defines how new blocks are added to the chain and how the network reaches agreement on the current state of the ledger. There are various types of consensus mechanisms used in blockchain networks, including proof of work (PoW), proof of stake (PoS), and delegated proof of stake (DPoS). The consensus client implements the specific consensus mechanism used by the network and ensures that all nodes follow the rules and reach agreement on the current state of the blockchain.",,
consensus client,noun,decentralized web,/kənˈsɛnsəs ˈklaɪənt/,"A consensus client is a component of a blockchain node that is responsible for validating and verifying transactions and blocks in the network. It communicates with other nodes to reach consensus on the current state of the blockchain and to ensure that all nodes have a consistent copy of the ledger. See also: ""consensus mechanism"".",,
consensus mechanism,noun,decentralized web,/kənˈsɛnsəs ˈleɪər/,Consensus mechanisms (also known as consensus protocols or consensus algorithms) allow distributed systems (networks of computers) to work together and stay secure.,,
Constantinople fork,noun,decentralized web,/ˌkɒnstænˈtɪnəpl fɔːrk/,"One of the 'hard forks' made to the Ethereum network, in February 2019. For more detailed information, see here; see also 'hard fork'.",,
contract,noun,decentralized web,/ˈkɒntrækt/,See smart contract,,
contract account,noun,decentralized web,/ˈkɒntrækt əˈkaʊnt/,An account containing code that executes whenever it receives a transaction from another account (EOA or contract).,,
crypto asset,noun,decentralized web,/ˈkrɪptoʊ ˈæsɛt/,"A useful blanket term that covers on-chain assets: cryptocurrencies, NFTs, and other, still emerging, products.",,
crypto bounties,noun,decentralized web,/ˈkrɪptoʊ ˈbaʊntiz/,"Crypto bounties are an important rewards mechanism that blockchain projects utilize in order to secure the successful accomplishments of certain tasks required by the network. Initially, bounties were intended as a marketing tool to attract users to participate in performing validation services for blockchain projects. Today, crypto bounties have developed significantly beyond the purpose of a simple marketing tool. crypto bounties ",,
crypto fund,noun,decentralized web,/ˈkrɪptoʊ fʌnd/,A crypto fund is a type of investment fund that focuses on investing in cryptocurrencies or companies involved in the cryptocurrency industry. These funds are designed to give investors exposure to the crypto market without the need for them to directly buy and hold cryptocurrencies themselves.,,
crypto wallet,noun,decentralized web,/ˈkrɪptoʊ ˈwɔlɪt/,"A crypto wallet is a device, physical medium, program or a service which stores the public and/or private keys for cryptocurrency transactions. Crypto wallets come in different forms, including software wallets, hardware wallets, and paper wallets.",,
crypto-,noun,decentralized web,/ˈkrɪptoʊ-/,"Even though this prefix is originally Greek, our current usage comes from cryptography. Technologies that are referred to with the blanket term of 'crypto' tech are underlain by cryptographic tools and processes (such as public/private key pairs) that enable innovative functionality and security. Of course, 'cryptocurrency' often gets shortened to simply 'crypto', so this emerging field is full of instances where something 'crypto' is being added to or shortened. With the emergence of the term 'Web3', arguably a distinction has begun to be made between 'crypto', referring to DeFi and other financial use cases of the technology, while 'Web3' refers to the transition of Internet-based activities to more decentralized practices and platforms.",,
crypto-compliance,noun,decentralized web,/ˈkrɪptoʊ-kəmˈplaɪəns/,A blanket term used to refer to ensuring crypto projects conform with applicable regulations and laws.,,
cryptoassets,noun,decentralized web,/ˈkrɪptoʊˌæsɛts/,"A useful blanket term that covers on-chain assets: cryptocurrencies, NFTs, and other, still emerging, products.",,
cryptocurrency,noun,decentralized web,/ˌkrɪptəˈkɜrənsi/,"Digital currency that is based on mathematics and uses encryption techniques to regulate the creation of units of currency as well as verifying the transfer of funds. Cryptocurrencies operate independently of a central bank, and are kept track of through distributed ledger technology.",,
cryptoeconomics,noun,decentralized web,/ˌkrɪptoʊɪˈkɒnəmɪks/,"The economic analysis of decentralized finance; notably, the MIT Cryptoeconomics Lab.",,
cryptography,noun,decentralized web,/krɪpˈtɒɡrəfi/,"In its broadest sense, cryptography is the art of 'hidden writing' -- using some sort of code to encrypt writing. In modern times, it often refers to the application of this concept within computing, communication, and data transfer through computers and computer networks. Cryptography has been protected as free speech in the United States, and provides the technological foundation that allows blockchain networks to be public: despite the ledger being open and accessible by all, control over the state of the ledger and the ability to move assets on it is mediated through cryptographic tools, such as the Secret Recovery Phrase.",,
DAO,noun,decentralized web,/daʊ/,Acronym; see 'Decentralized Autonomous Organization'.,,
dapp,noun,decentralized web,/dæp/,Acronym; see 'decentralized application',,
decentralization,noun,decentralized web,/ˌdiːsɛntrəlɪˈzeɪʃən/,"The transfer of authority and responsibility from a centralized organization, government, or party to a distributed network.",,
decentralized application,noun,decentralized web,/ˌdiːsɛntrəlaɪzd ˌæplɪˈkeɪʃən/,"An open-source software application with backend (not user-facing) code running on a decentralized peer-to-peer network, rather than a centralized server.  You may see alternate spellings: dApps, DApps, Dapps, and Đapps.",,
Decentralized Autonomous Organization,noun,decentralized web,"/ˌdiːsɛntrəlaɪzd ɔːˈtɒnəməs ˌɔrɡənaɪˈzeɪʃən/, /daʊ/","A Digital Decentralized Autonomous Organization (DAO, pronounced like the Chinese concept) is a powerful and very flexible organizational structure built on a blockchain. Alternatively, the first known example of a DAO is referred to as The DAO. The DAO served as a form of investor-directed venture capital fund, which sought to provide enterprises with new decentralized business models. Ethereum-based, The DAO’s code was open source. The organization set the record for the most crowdfunded project in 2016. Those funds were partially stolen by hackers. The hack caused an Ethereum hard-fork which lead to the creation of Ethereum Classic.",,
decentralized exchange,noun,decentralized web,"/ˌdiːsɛntrəˈlaɪzd ɪkˈstʃeɪndʒ/, /ˈdɛks/","A decentralized exchange (DEX) is a platform for exchanging cryptocurrencies based on functionality programmed on the blockchain (i.e., in smart contracts). If cryptocurrency is web3’s monetary system, its financial system is DeFi. This includes familiar concepts like loans and interest-bearing financial instruments, as well as so-called “DeFi primitives”, novel solutions like token swapping and liquidity pools. The trading is peer-to-peer, or between pools of liquidity. This is in contrast with a centralized exchange, which is more akin to a bank or investment firm that specializes in cryptocurrencies. Additionally, there are so-called on-ramp providers, who could be compared to currency brokers, exchanging traditional “fiat” money for cryptocurrencies, and do not hold customer’s funds “on deposit” the way a centralized exchange does. There are important technical and regulatory differences between these, which are constantly evolving.",,
decentralized web,noun,decentralized web,/ˌdiːsɛntrəˈlaɪzd wɛb/,"The decentralized web, also known as web3, is a concept that refers to a new type of internet architecture that aims to provide a more open, secure, and privacy-preserving internet experience by removing the need for centralized intermediaries and giving users more control over their data. In contrast to the current centralized web, where most online activities are controlled by a few large corporations and their servers, the decentralized web relies on a network of distributed nodes and peer-to-peer protocols to store and transmit data. This means that there is no central authority controlling the internet, and users can interact directly with each other without the need for intermediaries.",,
DeFi,noun,decentralized web,/ˈdiːˌfaɪ/,,,
Delegated proof of stake (DPoS),noun,decentralized web,"/dɪˈlɛɡeɪtɪd pruːf əv steɪk/, /ˌdiːˌpiːˈoʊˈɛs/",,,
denominations,noun,decentralized web,/ˈiːθər/ /ˈdɛnəmɪˌneɪʃənz/,"Cryptocurrencies are, generally speaking, broken into many more, and more granular, denominations than legacy currencies; that is to say, they have defined many decimal points past zero. There are a number of denominations of the currency we know as 'ether' or ETH; for the definitive explanation, see the original Ethereum Homestead documentation Ethereum Homestead documentation here.",,
derive / derivation,noun,decentralized web,"/dɪˈraɪv/, /dɪˈrɪveɪʃən/","To derive something is to obtain it from an original source. In the context of crypto-technology, we often discuss 'deriving' wallets and accounts from seed phrases (aka Secret Recovery Phrases, or SRPs). This is literally true: the SRP represents a cryptographic key which is used to derive account addresses deterministically, meaning they will be derived the same way each time. Another, more technical, way of referring to this technology is to refer to 'hierarchical deterministic' wallets.",,
DEX,noun,decentralized web,/ˈdɛks/,Acronym; see 'decentralized exchange'.,,
difficulty,noun,decentralized web,/ˈdɪfɪkəlti/,"The concept outlining how hard it is to verify blocks in a blockchain network during Proof of Work mining. In the Bitcoin network, the difficulty of mining adjusts every 2016 blocks. This is to keep block verification time at ten minutes.",,
difficulty bomb,noun,decentralized web,/ˈdɪfɪkəlti bɒm/,"The difficulty bomb, along with the Beacon Chain and others, was a key element of Ethereum's upgrade to Ethereum 2.0 and a Proof of Stake (PoS) consensus mechanism. As the name indicates, the difficulty bomb was a software mechanism that increased block verification difficulty, making it more expensive and difficult--eventually, prohibitively so--to mine a new block. Through economic incentive, and later, the raw limitations of computing power, this forced the shift to PoS consensus. See also 'Proof of Stake', 'the Merge'.",,
digital identity,noun,decentralized web,/ˈdɪdʒɪtəl aɪˈdɛntɪti/,"An online or networked identity adopted by an individual, organization, or electronic device.",,
digital signature,noun,decentralized web,/ˈdɪdʒɪtəl ˈsɪgnətʃər/,"A short string of data a user produces for a document using a private key such that anyone with the corresponding public key, the signature, and the document can verify that (1) the document was 'signed' by the owner of that particular private key, and (2) the document was not changed after it was signed.",,
distributed ledger,noun,decentralized web,/dɪˈstrɪbjʊtɪd ˈlɛdʒər/,"A type of database which spreads across multiple sites, countries, or institutions. Records are stored sequentially in a continuous ledger. Distributed ledger data can be either “permissioned” or “unpermissioned”, determining who can view it. This term is used, often, to refer in general to public blockchain technology, as 'crypto' has come to mean 'cryptocurrency', 'web3' is the collective community, and 'blockchain', after all, is 'just' the data structure used to sync the distributed ledger itself.",,
Distributed Ledger Technology,noun,decentralized web,/dɪˈstrɪbjʊtɪd ˈlɛdʒər tɛkˈnɒlədʒi/,"A type of database which spreads across multiple sites, countries, or institutions. Records are stored sequentially in a continuous ledger. Distributed ledger data can be either “permissioned” or “unpermissioned”, determining who can view it. This term is used, often, to refer in general to public blockchain technology, as ‘crypto’ has come to mean ‘cryptocurrency’, ‘web3’ is the collective community, and ‘blockchain’, after all, is “just” the data structure used to sync the distributed ledger itself.",,
DLT,noun,decentralized web,/ˈdɪlˌti/,Acronym; see 'distributed ledger technology'.,,
double spend,noun,decentralized web,/ˈdʌbəl spɛnd/,"The 'double spend' is the benchmark security concern of blockchain networks: how do we ensure that someone doesn't send the same transaction to two different entities, essentially 'spending their money twice'? This is the cornerstone of the consensus mechanism, ensuring that all nodes of the network are 'in agreement' about which assets are allocated to which addresses, on an ongoing basis, to prevent malicious actions such as a double spend.",,
ecosystem,noun,decentralized web,/ˈɛkoʊˌsɪstəm/,In the context of 'web3 ecosystem'; 'blockchain ecosystem'. See 'web3'; See 'blockchain',,
EIP,noun,decentralized web,"/ɪˈθiːriəm ɪmˈpruːvmənt prəˈpoʊzəl/, /ˈiːˈaɪˈpiː/","Initialism; Ethereum Improvement Proposals. The EIP process is a public and open process through which suggestions are made as to how to change (and hopefully, improve) the way the Ethereum network functions as a whole; the official repository is here. Individual EIPs are referred to by the name assigned to them in the repository, for example, EIP-1559. Keep in mind that as it is an iterative, lengthy process, some EIPs never get fully approved, and some do, and many end up somewhere in a gray area of 'partially implemented'.",,
EIP-1559,noun,decentralized web,/ˈiːaɪˈpiː ˈfɪftiˌfaɪvˈnaɪn/,"EIP (Ethereum Improvement Proposal) The EIP process is a public and open process through which suggestions are made as to how to change (and hopefully, improve) the way the Ethereum network functions as a whole. Individual EIPs are referred to by the name assigned to them in the repository, for example, EIP-1559. EIP-1559 will change Ethereum’s fee market mechanism. Fundamentally, EIP-1559 gets rid of the first-price auction as the main gas fee calculation. In first-price auctions, people bid a set amount of money to pay for their transaction to be processed, and the highest bidder wins. With EIP-1559, there will be a discrete “base fee” for transactions to be included in the next block. For users or applications that want to prioritize their transaction, they can add a “tip,” which is called a “priority fee” to pay a miner for faster inclusion.",,
encrypted keys,noun,decentralized web,/ɛnˈkrɪptɪd vs ʌnˈɛnkrɪptɪd kiːz/,"As discussed elsewhere, public and private cryptographic key pairs are one of the technologies that underpins cryptocurrencies and 'crypto' tech in general. In MetaMask, an unencrypted private key is 64 characters long, and it is used to unlock or restore wallets. An encrypted key is also 64 letters long and is a regular private key that has gone through the process of encryption. Usually, encrypted private keys are kept within the extension or device they are encrypted by, and they remain out of sight from the user. This is meant to add another layer of security to keep a user’s wallet information safe. By way of example: if the world ‘Apple’ was your private key, then it was encrypted three letters down the alphabet, your new encrypted key would be ‘Dssoh’. Since you know the way to encrypt this key, you could derive the original private key from it by reversing the method of encryption.",,
ENS,noun,decentralized web,"/ɪˈθiːriəm neɪm ˈsɜrvɪs/, /ˈɛns/","Initialism; the Ethereum Name Service is a protocol, managed by a DAO, which assigns human-readable and easy-to-remember addresses to Ethereum addresses and assets, homologous to the traditional internet’s DNS.",,
epoch,noun,decentralized web,/ˈɛpək/,"An epoch, in general, is a measure of time, or of blockchain progression, on a given blockchain. In Ethereum Proof of Stake, an epoch consists of 32 slots, each lasting 12 seconds, for a total of 6.4 minutes per epoch. There is additional functionality built upon the epoch measure in the Beacon Chain to help ensure security and proper operation of the Chain.",,
ERC,noun,decentralized web,/ˈɜrk/,"Ethereum Request for Comment, or ERC, is a bit of a misnomer, as it is used to refer to suggestions for modifications that have already made it through the Ethereum Improvement Protocol (EIP) process and have been made standard on Ethereum. An ERC is, essentially, a set of standards for a given operation or topic on the Ethereum network. The authoritative list can be found here.",,
ERC-1155,noun,decentralized web,/ˈɜrk ˈwʌnˈwʌnˈfaɪvˈfaɪv/,"A token standard for creating semi-fungible tokens, meaning you can launch both fungible and non-fungible tokens within a single smart contract.",,
ERC-20,noun,decentralized web,/ˈɜrk-ˈtwɛnti ˈtoʊkən ˈstændərd/,"ERC is the abbreviation for Ethereum Request for Comment and is followed by the assignment number of the standard. ERC-20 is a technical standard for smart contracts which is used to issue the majority of tokens (in particular, cryptocurrency tokens) extant on Ethereum. This list of rules states the requirements that a token must fulfill to be compliant and function within the Ethereum network.",,
ERC-721,noun,decentralized web,/ˈɜrk-ˈsɛvənˈtwɛnti ˈtoʊkən ˈstændərd/,"ERC-721 Token Standard A standard for Ethereum smart contracts, which allows for the issuance of a non-fungible token: this is the standard that created what we all now know as an NFT. This token standard is used to represent a unique digital asset that is not interchangeable, as opposed to the ERC-20 (or other equivalent) standard, which issues identical, interchangeable tokens.",,
ETH,noun,decentralized web,/ɛθ/,Acronym; see 'ether',,
ether,noun,decentralized web,"/ˈiːθər/, /ˈiːθ/","Ether is the native cryptocurrency of the Ethereum blockchain network. Ether—also referred to as ETH (pronounced with a long “e”, like “teeth” without the “t”)—functions as the fuel of the Ethereum ecosystem, by quantifying the work performed by the network, and as a form of payment for participants securing the network.",,
Ethereum 2.0,noun,decentralized web,/ɪˈθiːriəm tuː pɔɪnt oʊ/,"a.k.a The Merge Finalized in September 2022, the Merge was the culmination of years of work involved in transitioning Ethereum from a Proof of Work consensus model, to Proof of Stake, all while keeping the network live. This was successful, and reduced the network’s carbon footprint by more than 99.9%.",,
Ethereum Virtual Machine,noun,decentralized web,"/ɪˈθiːriəm ˈvɜrʧuəl məˈʃiːn/, /ˈiːˈvɛm/","The EVM is a virtual machine that operates on the Ethereum network. It is Turing complete and allows anyone, anywhere to execute arbitrary EVM bytecode. All Ethereum nodes run on the EVM. It is home for smart contracts based on the Ethereum blockchain.",,
EVM,noun,decentralized web,/ˈiːˈvɛm/,Initialism; see 'Ethereum Virtual Machine'.,,
exchange,noun,decentralized web,/ɪksˈtʃeɪndʒ/,"A place to trade cryptocurrency. Centralized exchanges, operated by companies like Coinbase and Gemini, function as intermediaries, while decentralized exchanges do not have a central authority.",,
execution client,noun,decentralized web,/ɪɡˈzɛkʃən ˈklaɪənt/,"Execution clients are tasked with processing and broadcasting transactions, as well as with managing Ethereum's state. They run the computations for each transaction in the Ethereum Virtual Machine to ensure that the rules of the protocol are followed. Today, they also handle proof of work consensus. After the transition to proof of stake, they will delegate this to consensus clients.",,
execution layer,noun,decentralized web,/ɪɡˈzɛkʃən ˈleɪər/,Ethereum's execution layer is the network of execution clients.,,
Extended Private Key,noun,decentralized web,"/ɪkˈstɛndɪd ˈpraɪvɪt kiː/, /ˈɛksˌpraɪv/","See 'private key' often seen as the acronym 'XPRV'; see 'Hierarchical Deterministic (HD)' wallet. An extended private key, or XPRV, is a private key which can be used to derive child private keys as part of a Hierarchical Deterministic (HD) wallet.",,
Extended Public Key,noun,decentralized web,"/ɪkˈstɛndɪd ˈpʌblɪk kiː/, /ˈɛksˌpʌb/","Often seen as the acronym 'XPUB'. See 'public key'; see 'Hierarchical Deterministic (HD)' wallet. An extended public key, or xpub, is a public key which can be used to derive child public keys as part of a Hierarchical Deterministic (HD) wallet. ",,
faucet,noun,decentralized web,/ˈfɔsɪt/,"A faucet is an application, sometimes a very simple website, other times more complex, that dispenses cryptocurrency. While some networks, especially those in early launch stages, offer “real Mainnet” tokens via faucets, it is much more common for a faucet to be present on a test network, or testnet. These faucets are used by developers to test out dapps or smart contracts before deploying them on Ethereum Mainnet, or users who want to practice an action on the blockchain with no risk. Tokens dispensed by a test faucet stay on the test networks and cannot be exchanged for mainnet equivalents.",,
finality,adjective,decentralized web,"/ˈfaɪnəl/, /faɪˈnælɪti/","A transaction is considered 'final' once it can no longer be changed. In a sense, this happens once there are sufficient confirmations of the transaction, but for all intents and purposes, a transaction is final once the block that contains it is mined or validated. Keep in mind that this reflects a fundamental rule of blockchains: unlike traditional financial systems where charges can be 'reversed', there is no 'undoing' a transaction on the blockchain. Once finality is reached, the transaction is immutable.",,
finality rate,noun,decentralized web,/faɪˈnælɪti reɪt/,See 'finality',,
financial technology,noun,decentralized web,/ˈfaɪnænʃəl tɛkˈnɒlədʒi/,,,
finney,noun,decentralized web,/ˈfɪni/,A denomination of ether. See ether (denomination).,,
