Term [en-US],Term [ar-001],Term [zh-CN],Term [zh-TW],Term [nl-NL],Term [fr-FR],Term [de-DE],Term [el-GR],Term [ha-NG],Term [hi-IN],Term [hu-HU],Term [id-ID],Term [it-IT],Term [ja-JP],Term [ko-KR],Term [fa-AF],Term [ms-MY],Term [pcm-NG],Term [pl-PL],Term [pt-BR],Term [ro-RO],Term [ru-RU],Term [es-419],Term [tl-PH],Term [th-TH],Term [tr-TR],Term [uk-UA],Term [vi-VN],Term [en-GB]
Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche,Avalanche
AVAX,AVAX,AVAX,AVAX,AVAX,AVAX,AVAX,AVAX,AVAX,AVAX,AVAX,AVAX,AVAX,AVAX,AVAX,AVAX,AVAX,AVAX,AVAX,AVAX,AVAX,AVAX,AVAX,AVAX,AVAX,AVAX,AVAX,AVAX,AVAX
Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity,Axie Infinity
Banxa,Banxa,Banxa,Banxa,Banxa,Banxa,Banxa,Banxa,Banxa,Banxa,Banxa,Banxa,Banxa,Banxa,Banxa,Banxa,Banxa,Banxa,Banxa,Banxa,Banxa,Banxa,Banxa,Banxa,Banxa,Banxa,Banxa,Banxa,Banxa
Beacon Chain,سلسلة المنارة (Beacon),信标链,信標鏈,Beacon Chain,Chaîne phare,Chaîne phare,Κύρια αλυσίδα,Sarkar Jagora,बीकन चेन,Beacon-lánc,Beacon Chain,Beacon Chain,ビーコンチェーン,비콘 체인,بیکن چین,Beacon Chain,Chain wey dey guide di main network,Łańcuch śledzący (beacon chain),Beacon Chain,Beacon Chain,Бикончейн,cadena Beacon,Beacon Chain,Beacon Chain,İşaret Zinciri,Beacon Chain,Chuỗi Beacon,Beacon Chain
Besu,Besu,Besu,Besu,Besu,Besu,Besu,Besu,Besu,Besu,Besu,Besu,Besu,Besu,Besu,Besu,Besu,Besu,Besu,Besu,Besu,Besu,Besu,Besu,Besu,Besu,Besu,Besu,Besu
Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance,Binance
Bitcoin,بيتكوين,比特币,比特幣,Bitcoin,Bitcoin,Bitcoin,Bitcoin,Bitcoin (BTC),Bitcoin,Bitcoin,Bitcoin,Bitcoin,ビットコイン,비트코인,بیت‌کوین,Bitcoin,Bitcoin,Bitcoin,Bitcoin,Bitcoin,Биткойн,Bitcoin,Bitcoin,บิตคอยน์,Bitcoin,Біткойн,Bitcoin,Bitcoin
block,كُتلة,区块,區塊,blok,bloc,Block,ομάδα καταχωρίσεων,sashe,ब्लॉक,blokk,blok,blocco,ブロック,블록,بلاک,blok,piece of di record,blok,bloco,bloc,блок,bloque,block,บล็อก,blok,блок,khối,block
block explorer,مستكشف البلوكتشين,区块浏览器,區塊鏈瀏覽器,blokverkenner,explorateur de blocs,Block-Explorer,εξερευνητής ομάδας καταχωρίσεων,Mai binciken sarkar,ब्लॉक एक्सप्लोरर,blokk felfedező,block explorer,block explorer,ブロックエクスプローラー,블록 탐색기,مرورگر بلاک,block explorer,oga tool wey dey find crypto waka waka,Eksplorator bloków,explorador de blocos,block explorer,обозреватель блоков,explorador de bloques,block explorer,ส่วนอธิบายบล็อก,blok gezgini,оглядач блоків,trình khám phá khối,block explorer
block height,موقع الكتلة,区块高度,區塊高度,blokhoogte,hauteur de bloc,Blockhöhe,ύψος ομάδας καταχωρίσεων,Tsawon sashe,ब्लॉक हाइट,blokk magasság,ketinggian block,altezza del blocco,ブロックの高さ,블록 높이,ارتفاع بلاک,ketinggian blok,block level,Wysokość bloku,altura do bloco,înălțimea blocului,высота блока,altura del bloque,taas ng block,เลขบล็อก,blok yüksekliği,висота блоку,chiều cao khối,block height
block reward,مكافأة الكتلة,区块奖励,出塊獎勵,blokbeloning,récompense de bloc,Blockbelohnung,ανταμοιβή ομάδας καταχωρίσεων,Ladan da ake samu daga sashe,ब्लॉक रिवॉर्ड,blokkjutalom,imbalan block,ricompensa del blocco,ブロック報酬,블록 보상,پاداش بلاک,ganjaran blok,moni wey dem dey give for mining block,Nagroda za blok,recompensa do bloco,recompensa blocului,вознаграждение за блок,recompensa por bloque,gantimpala ng block,รางวัลการขุดบล็อก,blok ödülü,винагорода за блок,phần thưởng khối,block reward
block time,وقت الكتلة,区块间隔,出塊時間,bloktijd,délai du bloc,Blockzeit,χρόνος ομάδας καταχωρίσεων,Lokacin sashe,ब्लॉक टाइम,blokkidő,waktu block,orario creazione blocco,ブロックタイム,블록타임,زمان بلاک,masa blok,how long e take to find one block,Czas wydobycia bloku,tempo do bloco,durata blocului,время блока,tiempo del bloque,oras ng block,ระยะเวลาบล็อก,blok süresi,час блокування,thời gian đóng khối,block time
Blockaid,Blockaid,Blockaid,Blockaid,Blockaid,Blockaid,Blockaid,Blockaid,Blockaid,Blockaid,Blockaid,Blockaid,Blockaid,Blockaid,Blockaid,Blockaid,Blockaid,Blockaid,Blockaid,Blockaid,Blockaid,Blockaid,Blockaid,Blockaid,Blockaid,Blockaid,Blockaid,Blockaid,Blockaid
blockchain,البلوكتشين,区块链,區塊鏈,blockchain,chaîne de blocs,Blockchain,αλυσίδα κατανεμημένης εγγραφής,Sarkar dijital,ब्लॉकचेन,blokk lánc,blockchain,blockchain,ブロックチェーン,블록체인,بلاک‌چین,rantaian blok,block to block record wey no fit change,łańcuch bloków,blockchain,blockchain,блокчейн,cadena de bloques,blockchain,บล็อกเชน,blokzinciri,блокчейн,chuỗi khối,blockchain
blockchain explorer,مستكشف البلوكتشين,区块链浏览器,區塊鏈瀏覽器,blockchain-verkenner,explorateur de blockchain,Blockchain-Explorer,Εξερευνητής αλυσίδας κατανεμημένης εγγραφής,mai binciken kasuwanci na dijital,ब्लॉकचेन एक्सप्लोरर,blokklánc felfedező,blockchain explorer,Blockchain explorer,ブロックチェーンエクスプローラー,블록체인 탐색기,مرورگر بلاک‌چین,blockchain explorer,oga tool wey dey find crypto waka waka,eksplorator blockchain,explorador de blockchain,blockchain explorer,обзреватель блокчейна,explorador de cadenas de bloques,blockchain explorer,ส่วนอธิบายบล็อกเชน,blokzinciri gezgini,блокчейн-оглядач,trình khám phá chuỗi khối,blockchain explorer
blockchain trilemma,المعضلة الثلاثية الأبعاد لسلاسل البلوكتشين,区块链三难困境,區塊鏈的三難困境,blockchain-trilemma,trilemme de la blockchain,Blockchain-Trilemma,τρίλημα αλυσίδας κατανεμημένης εγγραφής,Matsalar uku na sarkar tubuka,ब्लॉकचेन ट्राइलेमा,blokklánc trilemma,blockchain trilema,Trilemma della blockchain,ブロックチェーンのトリレンマ,블록체인 트릴레마,سه‌گانه بلاک‌چین,trilema rantaian blok,three hard things wey blockchain dey fight,Trylemat łańcucha bloków,trilema de blockchain,Trilema blockchain,трилемма блокчейна,trilema de la cadenas de bloques,blockchain trilemma,บล็อกเชนตรีบถ,blokzinciri çıkmazı,трилема блокчейна,bộ ba bất khả thi của chuỗi khối,blockchain trilemma
BNB,BNB,BNB,BNB,BNB,BNB,BNB,BNB,BNB,BNB,BNB,BNB,BNB,BNB,BNB,BNB,BNB,BNB,BNB,BNB,BNB,BNB,BNB,BNB,BNB,BNB,BNB,BNB,BNB
BNB Chain,BNB Chain,BNB Chain,BNB Chain,BNB Chain,BNB Chain,BNB Chain,BNB Chain,BNB Chain,BNB Chain,BNB Chain,BNB Chain,BNB Chain,BNB Chain,BNB Chain,BNB Chain,BNB Chain,BNB Chain,BNB Chain,BNB Chain,BNB Chain,BNB Chain,BNB Chain,BNB Chain,เชน BNB,BNB Chain,BNB Chain,BNB Chain,BNB Chain
bounty,مكافأة,赏金,懸賞,bounty/,prime,Belohnung,επιβράβευση,Lada don nemo kurakurai,बाउंटी,bounty,bounty,bounty,バウンティ,바운티,پاداش پیدا کردن,ganjaran,moni wey dem dey go give if you see bug,Nagroda,recompensa,bounty,вознаграждение,recompensa,bounty,รางวัล,ödülü,винагорода,tiền thưởng,bounty
brain wallet,محفظة الدماغ,脑钱包,腦錢包,brainwallet,portefeuille mnémotechnique,Brain-Wallet,πορτοφόλι με φράσεις πρόσβασης,Walat da ba a rubuta ba,ब्रेन वॉलेट,brain wallet,brain wallet,brain wallet,ブレインウォレット,브레인월렛,کیف پول ذهنی,dompet otak,secret code wey you keep in your head,Brain wallet,brain wallet,brain wallet,брейн-кошелек,monedero memorizado,brain wallet,วอลเล็ตความจำ,beyin cüzdanı,мозковий гаманець,ví trí nhớ,brain wallet
Brave,Brave,Brave,Brave,Brave,Brave,Brave,Brave,Brave,Brave,Brave,Brave,Brave,Brave,Brave,Brave,Brave,Brave,Brave,Brave,Brave,Brave,Brave,Brave,Brave,Brave,Brave,Brave,Brave
bridge,جسر,跨链桥,跨鏈橋,brug,passerelle,Bridge,Γέφυρα,hanyar musayar kadarori tsakanin sarkarori,ब्रिज,bridge,bridge,bridge,ブリッジ,브릿지,پل,jambatan,oga platform wey move your crypto between networks,most,ponte,pod,мост,puente,bridge,bridge,köprü,міст,cầu nối,bridge
BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC,BTC
bytecode,شفرة البايت,字节码,位元組碼,bytecode,bytecode,Bytecode,σύνολο εντολών,Kalmomin shirye-shirye na na'ura mai kwakwalwa,बाइटकोड,bytecode,kode byte,bytecode,バイトコード,바이트코드,بایت‌کد,kod bait,code wey machne dey undastand,bytecode,bytecode,bytecode,байт-код,código de bytes,bytecode,ไบต์โค้ด,bayt kodu,байт-код,mã byte,bytecode
Byzantine fault tolerance,التسامح مع الخطأ البيزنطي,拜占庭容错,拜占庭容錯算法,Byzantijnse fouttolerantie,Tolérance aux pannes byzantines,Byzantine-Fehlertoleranz,Ανοχή Βυζαντινής Βλάβης,Tsananin haƙuri ga kurakuran Byzantine,बायजैंटाइन फॉल्ट टॉलरेंस,bizánci hibatűrés,Toleransi kesalahan Byzantine,Tolleranza agli errori bizantini,ビザンチン障害耐性,비잔틴 장애 허용,تحمل خطای بیزانس,toleransi kesalahan byzantine,Network wey no fail even if some parts bad,Bizantyjska tolerancja błędów,Tolerância a falhas bizantinas,Byzantine fault tolerance,Задача византийских генералов,Tolerancia a fallas bizantinas,Byzantine fault tolerance,การทนความผิดพร่องแบบไบแซนไทน์,Bizans hata toleransı,Візантійська відмовостійкість,Hệ thống chịu lỗi Byzantine,Byzantine fault tolerance
Byzantium fork,انقسام (فورك) Byzantium,拜占庭分叉,拜占庭分叉,Byzantium fork,Fork Byzance,Byzantium-Fork,ενημέρωση Byzantium,Byzantium fork,बायजैंटियम फोर्क,Byzantium elágazás,Byzantium fork,Fork Byzantium,ビザンチウムフォーク,비잔티움 포크,هارد فورک بیزانس,Byzantium fork,Change wey happen for di network,Fork Byzantium,Bifurcação Byzantium,Fork-ul Byzantium,Византийский форк,Actualización Byzantium,Byzantium fork,การแยกบิแซนเทียม,Bizans çatalı,Форк Byzantium,phân nhánh Byzantium,Byzantium fork
Celo,Celo,Celo,Celo,Celo,Celo,Celo,Celo,Celo,Celo,Celo,Celo,Celo,Celo,Celo,Celo,Celo,Celo,Celo,Celo,Celo,Celo,Celo,Celo,Celo,Celo,Celo,Celo,Celo
centralized exchange,بورصة مركزية,中心化交易所,中心化交易所,centrale exchange,échange centralisé,Zentralisierte Börse,κεντρικό xρηματιστήριο,hannuwan ciniki mai cibiya,सेंट्रलाइज्ड एक्सचेंज,centralizált tőzsde,bursa tersentralisasi,exchange centralizzato,中央集権型取引所,중앙화 거래소,صرافی متمرکز,pertukaran berpusat,company wey dey buy and sell crypto,giełda scentralizowana,corretora centralizada,exchange centralizat,централизованная биржа,cambio centralizado,centralized exchange,ตลาดแลกเปลี่ยนรวมศูนย์,merkezi borsa,централізована біржа,sàn giao dịch tập trung,centralised exchange
CEX,CEX,CEX,CEX,CEX,CEX,CEX,CEX,CEX,CEX,CEX,CEX,CEX,CEX,CEX,CEX,CEX,CEX,CEX,CEX,CEX,CEX,CEX,CEX,CEX,CEX,CEX,CEX,CEX
chain ID,مُعرفّ السلسلة,链 ID,鏈ID,chain-ID,ID de chaîne,Chain-ID,Αναγνωριστικό αλυσίδας,Gane shaida na sarkar,चेन ID,láncazonosító,ID chain,chain ID,チェーンID,체인 ID,شناسه زنجیره,ID rantaian,number wey tell you which network you dey,ID łańcucha,ID da cadeia,ID chain,ID блокчейна,ID de cadena,ID ng chain,ID เชน,zincir kimliği,ID мережі,ID chuỗi,chain ID
Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome,Chrome
client,عميل,客户端,客戶端,client,client,Client,πελάτης,software da ke hulɗa da kuma tabbatar da ma'amaloli,क्लाइंट,kliens,klien,client,クライアント,클라이언트,کلاینت,klien,software wey you dey use to connect to di network and wey dey confam transactions,Klient,cliente,client,клиент,cliente,kliyente,ไคลเอ็นต์,istemci,клієнт,khách hàng,client
Codefi,التداول والتمويل اللامركزي (CodeFi),Codefi,Codefi,Codefi,Codefi,Codefi,Codefi,Codefi,Codefi,Codefi,Codefi,Codefi,Codefi,Codefi,Codefi,Codefi,Codefi,Codefi,Codefi,Codefi,Codefi,Codefi,Codefi,Codefi,Codefi,CodeFi,Codefi,Codefi
coin,عملة,代币,幣,coin/cryptomunt,monnaie/jeton fongible,Coin,νόμισμα,Sikka,कॉइन,érme,koin,moneta,コイン,코인,کوین,coin,digital moni,Coin / moneta,moeda,monedă,монета,moneda,coin,เหรียญ,coin,монета,đồng,coin
Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay
CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko,CoinGecko
cold storage,التخزين البارد (غير متصل بالإنترنت),冷存储,冷儲存,koude opslag/cold storage,stockage déconnecté,Cold Storage,ψυχρή αποθήκευση,Ajiye kashe gaba ɗaya,कोल्ड स्टोरेज,hideg tárolás,cold storage,cold storage,コールドストレージ,콜드 스토리지,کیف پول سرد,simpanan sejuk,storage wey no dey connected to internet,cold storage,cold storage,cold storage,холодное хранилище,almacenamiento en frío,cold storage,ที่เก็บเงินระยะยาว,soğuk depolama,холодне сховище,kho lạnh,cold storage
cold wallet,محفظة باردة,冷钱包 / 冷存储,冷錢包,koude wallet,portefeuille déconnecté,Cold Wallet,ψυχρό πορτοφόλι,walat ajiyar kashe gaba ɗaya,कोल्ड वॉलेट,hideg tárca,cold wallet,cold wallet,コールドウォレット,콜드 월렛,کیف پول سرد,dompet sejuk,wallet wey no dey connected to internet,zimny portfel (cold wallet),cold wallet,cold wallet,холодный кошелек,monedero en frío,cold wallet,วอลเล็ตเงินเย็น,soğuk cüzdan,холодний гаманець,ví lạnh,cold wallet
compile,تجميع,编译,編譯,compileren,compiler,Kompilierung,μεταγλώττιση,tara,कम्पाइल,összeállít,komplikasi,compiling,コンパイル,컴파일링,همگردانی,susun,turn code to machine talk,kompilowanie,compilar,a compila,компиляция,compilación,pagsama-samahin,การคอมไพล์,derleme,компіляція,biên dịch,compile
Compound,بروتوكول Compound,Compound,Compound,Compound,Compound,Compound,Compound,Compound,Compound,Compound,Compound,Compound,Compound,Compound,Compound,Compound,Compound,Compound,Compound,Compound,Compound,Compound,Compound,Compound,Compound,Compound,Compound,Compound
confirmation,تأكيد,确认,確認,bevestiging,confirmation,Bestätigung,επιβεβαίωση,tabbatarwa,कन्फर्मेशन,megerősítés,konfirmasi,conferma,承認,컨펌,تایید,pengesahan,confirm say transaction don happen true true,Potwierdzenie,confirmação,confirmare,подтверждение,confirmación,kumpirmasyon,การยืนยัน,onay,підтвердження,xác nhận,confirmation
