"locale","key","term","partOfSpeech","termCategory","phonetic","definition","definitionSource","sampleSentence","extended","termSource","dateFirstRecorded","commentary"
"ar-001","arc-20","ARC-20","","","","تعرّف على رموز Atomicals ARC-20 المميزة، وهي معيار رموز مميزة للرموز القابلة للتبادل على سلسلة بلوكشين البيتكوين. استكشف كيفية عملها وحالات استخدامها المحتملة.","https://academy.binance.com/ar/glossary/arc-20","","","https://academy.binance.com/ar/glossary/arc-20","2025-02-01",""
"ar-001","artificial-intelligence-ai","الذكاء الاصطناعي","","","","استكشف قوة التغيير التي يتسم بها الذكاء الاصطناعي (AI) في قطاعات الرعاية الصحية والأعمال والتعليم والمالية والأمن والتصنيع والنقل.","https://academy.binance.com/ar/glossary/artificial-intelligence-ai","","","https://academy.binance.com/ar/glossary/artificial-intelligence-ai","2025-02-01",""
"ar-001","asic","الدائرة المتكاملة الخاصة بالتطبيق (ASIC)","","","","","","","","","",""
"ar-001","asic-resistant","ASIC-resistant","","","","The property of a cryptocurrency that is “immune” to ASIC mining. Allowing the mining to become more decentralized.","https://academy.binance.com/ar/glossary/asic-resistant","","","https://academy.binance.com/ar/glossary/asic-resistant","2025-02-01",""
"ar-001","asking-price","Ask Price","","","","The lowest price a seller would be willing to accept when placing their sell order while trading an asset on an exchange.","https://academy.binance.com/ar/glossary/asking-price","","","https://academy.binance.com/ar/glossary/asking-price","2025-02-01",""
"ar-001","asset-management","Asset Management","","","","A system or method that helps individuals or companies manage assets. Either on behalf of their clients or their own.","https://academy.binance.com/ar/glossary/asset-management","","","https://academy.binance.com/ar/glossary/asset-management","2025-02-01",""
"ar-001","asset-provenance","منشأ الأصل","","","","","","","","","",""
"ar-001","assets-under-management-aum","الأصول الخاضعة للإدارة","","","","الأصول الخاضعة للإدارة هي القيمة السوقية للأصول المالية التي يديرها كيان ما بالنيابة عن العملاء وتشير إلى التأثير والنطاق التشغيلي.","https://academy.binance.com/ar/glossary/assets-under-management-aum","","","https://academy.binance.com/ar/glossary/assets-under-management-aum","2025-02-01",""
"ar-001","asynchronous","Asynchronous","","","","Events in electronic systems that do not happen at the same time or speed, or happen independent of the main program flow.","https://academy.binance.com/ar/glossary/asynchronous","","","https://academy.binance.com/ar/glossary/asynchronous","2025-02-01",""
"ar-001","atomic-swap","Atomic Swap","","","","A technique of peer-to-peer cryptocurrency trading based on smart contract technology that removes the need for intermediaries.","https://academy.binance.com/ar/glossary/atomic-swap","","","https://academy.binance.com/ar/glossary/atomic-swap","2025-02-01",""
"ar-001","attack-surface","Attack surface","","","","Points in a software environment where an attacker can attempt to enter or extract data from the system.","https://academy.binance.com/ar/glossary/attack-surface","","","https://academy.binance.com/ar/glossary/attack-surface","2025-02-01",""
"ar-001","attestation","المصادقة","","","","","","","","","",""
"ar-001","auction","Auction","","","","A live event where assets or services are negotiated through a bidding process, which is often led by an auctioneer.","https://academy.binance.com/ar/glossary/auction","","","https://academy.binance.com/ar/glossary/auction","2025-02-01",""
"ar-001","aurora","Aurora","","","","","","","","","",""
"ar-001","automated-market-maker-amm","صانع السوق الآلي","","","","يعد صُنّاع السوق الآليون مجموعة فرعية من بروتوكولات منصات التداول اللامركزية  تتيح للمستخدمين تداول الأصول الرقمية بدون الحاجة إلى وسيط.","https://academy.binance.com/ar/glossary/automated-market-maker-amm","","","https://academy.binance.com/ar/glossary/automated-market-maker-amm","2025-02-01",""
"ar-001","avalanche","Avalanche","","","","","","","","","",""
"ar-001","avax","AVAX","","","","","","","","","",""
"ar-001","axie-infinity","Axie Infinity","","","","","","","","","",""
"ar-001","b-tokens","B-Tokens","","","","تشير B-Tokens إلى مجموعة رموز مميزة مربوطة ومضمونة بالكامل تسكّها Binance (بينانس).","https://academy.binance.com/ar/glossary/b-tokens","","","https://academy.binance.com/ar/glossary/b-tokens","2025-02-01",""
"ar-001","bags","Bags","","","","The portfolio of coins and tokens one is holding. Often related to a poorly performing bag of assets that investors insist to hold.","https://academy.binance.com/ar/glossary/bags","","","https://academy.binance.com/ar/glossary/bags","2025-02-01",""
"ar-001","banxa","Banxa","","","","","","","","","",""
"ar-001","beacon-chain","سلسلة المنارة (Beacon)","","","","سلسلة Beacon | التعريف: تمثل سلسلة Beacon طبقة إثبات الحصة (PoS) الخاصة بإيثريوم التي من خلالها يتم الوصول إلى الإجماع.","https://academy.binance.com/ar/glossary/beacon-chain","","","https://academy.binance.com/ar/glossary/beacon-chain","2025-02-01",""
"ar-001","bear-market","Bear Market","","","","A negative trend in prices of a market. It is widely used not only in the cryptocurrency space but also in the traditional markets","https://academy.binance.com/ar/glossary/bear-market","","","https://academy.binance.com/ar/glossary/bear-market","2025-02-01",""
"ar-001","benchmark","Benchmark","","","","A measurement standard which can be used to gauge the performance of a particular asset or investment portfolio","https://academy.binance.com/ar/glossary/benchmark","","","https://academy.binance.com/ar/glossary/benchmark","2025-02-01",""
"ar-001","bep-1155","معيار BEP-1155","","","","يتيح معيار الرموز المميزة BEP-1155 الجمع بين الرموز القابلة للتبادل والرموز غير القابلة للتبادل في عقد ذكي واحد على سلسلة BNB.","https://academy.binance.com/ar/glossary/bep-1155","","","https://academy.binance.com/ar/glossary/bep-1155","2025-02-01",""
"ar-001","bep-20","BEP-20","","","","BEP-20 هو معيار للرموز المميزة على سلسلة BNB الذكية ويُعد امتدادًا لمعيار ERC-20، وهو المعيار الأكثر استخدامًا على شبكة ايثريوم.","https://academy.binance.com/ar/glossary/bep-20","","","https://academy.binance.com/ar/glossary/bep-20","2025-02-01",""
"ar-001","bep-721","معيار BEP-721","","","","BEP-721 هو معيار خاص بالرموز المُميزة على سلسلة BNB الذكية (BSC) يُتيح إنشاء الرموز غير القابلة للتبادل (NFT).","https://academy.binance.com/ar/glossary/bep-721","","","https://academy.binance.com/ar/glossary/bep-721","2025-02-01",""
"ar-001","bep-95","BEP-95","","","","BEP-95 | التعريف: BEP-95 هو اقتراح لتطوير Binance (بينانس) يُضيف آلية حرق لحظية إلى سلسلة Binance الذكية (BSC)، ويجعل اقتصادات الرموز المميزة الخاصة بعملة BNB أكثر ديناميكية ولامركزية.","https://academy.binance.com/ar/glossary/bep-95","","","https://academy.binance.com/ar/glossary/bep-95","2025-02-01",""
"ar-001","besu","Besu","","","","","","","","","",""
"ar-001","beta-coefficient","Beta (Coefficient)","","","","A tool used to measure the volatility of an asset in comparison to the volatility of a specific portfolio or market index.","https://academy.binance.com/ar/glossary/beta-coefficient","","","https://academy.binance.com/ar/glossary/beta-coefficient","2025-02-01",""
"ar-001","beta-release","Beta (Release)","","","","An early version of a program for users to test and for a team to get feedback. This stage comes after the Alpha stage.","https://academy.binance.com/ar/glossary/beta-release","","","https://academy.binance.com/ar/glossary/beta-release","2025-02-01",""
"ar-001","bid-ask-spread","Bid-Ask Spread","","","","The difference in price between the lowest asking price and highest bid price on the order book for an asset.","https://academy.binance.com/ar/glossary/bid-ask-spread","","","https://academy.binance.com/ar/glossary/bid-ask-spread","2025-02-01",""
"ar-001","bid-price","Bid Price","","","","In the context of financial markets, it is the value buyers offer for an asset, such as a commodity, security, or cryptocurrency.","https://academy.binance.com/ar/glossary/bid-price","","","https://academy.binance.com/ar/glossary/bid-price","2025-02-01",""
"ar-001","binance","Binance","","","","","","","","","",""
"ar-001","binance-blockchain-charity-foundation","Blockchain Charity Foundation","","","","The world's first decentralized charity platform to advocate the concept of 'blockchain for social good'.","https://academy.binance.com/ar/glossary/binance-blockchain-charity-foundation","","","https://academy.binance.com/ar/glossary/binance-blockchain-charity-foundation","2025-02-01",""
"ar-001","binance-ecosystem-fund","Binance Ecosystem Fund (BEF)","","","","An initiative by Binance to collaborate with partners who care about the blockchain/cryptocurrency ecosystem.","https://academy.binance.com/ar/glossary/binance-ecosystem-fund","","","https://academy.binance.com/ar/glossary/binance-ecosystem-fund","2025-02-01",""
"ar-001","binancian","أعضاء Binance","","","","يشير مصطلح &quot;عضو Binance&quot; إلى الأفراد الذين يشاركون بنشاط أو يساهمون في تداول العملات الرقمية على Binance (بينانس).","https://academy.binance.com/ar/glossary/binancian","","","https://academy.binance.com/ar/glossary/binancian","2025-02-01",""
"ar-001","bitcoin","بيتكوين","","","","A cryptocurrency created by the pseudonymous developer(s) Satoshi Nakamoto, initially described as a 'Peer-to-Peer e-cash'.","https://academy.binance.com/ar/glossary/bitcoin","","","https://academy.binance.com/ar/glossary/bitcoin","2025-02-01",""
"ar-001","bitcoin-core","Bitcoin Core","","","","Leading implementation of the software that enables users to interact with the Bitcoin network. Initially released by Satoshi.","https://academy.binance.com/ar/glossary/bitcoin-core","","","https://academy.binance.com/ar/glossary/bitcoin-core","2025-02-01",""
"ar-001","bitcoin-dominance","Bitcoin Dominance","","","","The ratio of Bitcoin's market capitalization versus the sum of the market capitalizations of all cryptocurrencies.","https://academy.binance.com/ar/glossary/bitcoin-dominance","","","https://academy.binance.com/ar/glossary/bitcoin-dominance","2025-02-01",""
"ar-001","bitcoin-maximalists","المتطرفون للبيتكوين","","","","المتطرفون للبيتكوين هم أفراد يؤمنون أن عملة البيتكوين هي العملة الرقمية الوحيدة التي لها قيمة وتمثل مستقبل التمويل العالمي.","https://academy.binance.com/ar/glossary/bitcoin-maximalists","","","https://academy.binance.com/ar/glossary/bitcoin-maximalists","2025-02-01",""
"ar-001","bitcoin-pizza","Bitcoin Pizza","","","","The first known transaction where Bitcoin was exchanged for a physical good. Laszlo Hanyecz paid 10,000 BTC for two pizzas.","https://academy.binance.com/ar/glossary/bitcoin-pizza","","","https://academy.binance.com/ar/glossary/bitcoin-pizza","2025-02-01",""
"ar-001","black-swan-event","Black Swan Event","","","","An event that is often entirely unexpected and deviates from the expected result causing widespread ramifications.","https://academy.binance.com/ar/glossary/black-swan-event","","","https://academy.binance.com/ar/glossary/black-swan-event","2025-02-01",""
"ar-001","block","كُتلة","","","","A computer file that stores transaction data. These can then be arranged in a linear sequence, which will form a blockchain.","https://academy.binance.com/ar/glossary/block","","","https://academy.binance.com/ar/glossary/block","2025-02-01",""
"ar-001","block-explorer","مستكشف البلوكتشين","","","","Online Blockchain webpage which allows users to browse information about blocks, transactions, balances and more.","https://academy.binance.com/ar/glossary/block-explorer","","","https://academy.binance.com/ar/glossary/block-explorer","2025-02-01",""
"ar-001","block-header","Block header","","","","A section in a block containing metadata and a summary of the block's transactions. This is the information hashed when mining.","https://academy.binance.com/ar/glossary/block-header","","","https://academy.binance.com/ar/glossary/block-header","2025-02-01",""
"ar-001","block-height","موقع الكتلة","","","","The number of blocks in the chain between itself and the first block on that blockchain (genesis block or block 0).","https://academy.binance.com/ar/glossary/block-height","","","https://academy.binance.com/ar/glossary/block-height","2025-02-01",""
"ar-001","block-reward","مكافأة الكتلة","","","","مكافأة الكتلة | التعريف: مجموع العملات التي يمنحها بروتوكول البلوكشين إلى مُعدني العملات الرقمية لكل كتلة تم تعدينها والتحقق من صحتها بنجاح.","https://academy.binance.com/ar/glossary/block-reward","","","https://academy.binance.com/ar/glossary/block-reward","2025-02-01",""
"ar-001","block-time","وقت الكتلة","","","","","","","","","",""
"ar-001","blockaid","Blockaid","","","","","","","","","",""
"ar-001","blockchain","البلوكتشين","","","","سلاسل البلوكشين | التعريف: سجل مالي لامركزي رقمي يسجل معلومات المعاملات الخاصة بعملة رقمية بترتيب زمني.","https://academy.binance.com/ar/glossary/blockchain","","","https://academy.binance.com/ar/glossary/blockchain","2025-02-01",""
"ar-001","blockchain-explorer","مستكشف البلوكتشين","","","","","","","","","",""
"ar-001","blockchain-trilemma","المعضلة الثلاثية الأبعاد لسلاسل البلوكتشين","","","","","","","","","",""
"ar-001","bloom-filter","Bloom Filter","","","","A data structure which is able to be used to inform the user whether a particular item is part of a set of items","https://academy.binance.com/ar/glossary/bloom-filter","","","https://academy.binance.com/ar/glossary/bloom-filter","2025-02-01",""
"ar-001","blue-chip-token","الرموز المميزة الممتازة","","","","العملات الرقمية الممتازة هي عملات صمدت أمام اختبار الزمن. هذه الأصول ثابتة وقيمتها موثوقة.","https://academy.binance.com/ar/glossary/blue-chip-token","","","https://academy.binance.com/ar/glossary/blue-chip-token","2025-02-01",""
"ar-001","bnb","BNB","","","","عملة BNB | التعريف: تمَّ إطلاق هذه العملة بعد عرض أولي لها انتهى يوم 3 يوليو 2017، وهي تُستخدَم لتلقي خصومات على رسوم التداول على المنصة، وغير ذلك الكثير.","https://academy.binance.com/ar/glossary/bnb","","","https://academy.binance.com/ar/glossary/bnb","2025-02-01",""
"ar-001","bnb-chain","BNB Chain","","","","","","","","","",""
"ar-001","bnsol","رموز BNSOL المميزة","","","","رموز BNSOL هي رموز مميزة قابلة للتداول تمثل رموز SOL المخزنة على منصة Binance (بينانس)، وهي رموز لتخزين السيولة توفر السيولة وكفاءة رأس المال.","https://academy.binance.com/ar/glossary/bnsol","","","https://academy.binance.com/ar/glossary/bnsol","2025-02-01",""
"ar-001","bollinger-bands","Bollinger Bands","","","","A technical analysis indicator that measures market volatility. It's made of two sidelong bands and a simple moving average.","https://academy.binance.com/ar/glossary/bollinger-bands","","","https://academy.binance.com/ar/glossary/bollinger-bands","2025-02-01",""
"ar-001","bond","السندات","","","","السندات هي نوع من الاستثمارات ذات الدخل الثابت تمثل قرضًا يقدمه المستثمر إلى المقترض، الذي عادةً ما يكون شركة أو حكومة.","https://academy.binance.com/ar/glossary/bond","","","https://academy.binance.com/ar/glossary/bond","2025-02-01",""
"ar-001","bounty","مكافأة","","","","A reward posted by a group or individual to incentivize certain work, behavior (such as referrals), or development.","https://academy.binance.com/ar/glossary/bounty","","","https://academy.binance.com/ar/glossary/bounty","2025-02-01",""
"ar-001","brain-wallet","محفظة الدماغ","","","","","","","","","",""
"ar-001","brave","Brave","","","","","","","","","",""
"ar-001","brc-20-tokens","رموز BRC-20 المميزة","","","","BRC-20 هو معيار رموز مميزة تجريبي يتيح سك وتحويل الرموز المميزة القابلة للتبادل عبر بروتوكول Ordinals على سلسلة بلوكشين البيتكوين.","https://academy.binance.com/ar/glossary/brc-20-tokens","","","https://academy.binance.com/ar/glossary/brc-20-tokens","2025-02-01",""
"ar-001","break-even-point","Break-Even Point (BEP)","","","","The point where the total costs of an operation is equivalent to its current value or revenue.","https://academy.binance.com/ar/glossary/break-even-point","","","https://academy.binance.com/ar/glossary/break-even-point","2025-02-01",""
"ar-001","breakeven-multiple","Breakeven Multiple","","","","The multiple of the current price by which an asset needs to appreciate in order to reach its previous all-time high.","https://academy.binance.com/ar/glossary/breakeven-multiple","","","https://academy.binance.com/ar/glossary/breakeven-multiple","2025-02-01",""
"ar-001","breakout","Breakout","","","","When the price of an asset moves outside of a defined range or pattern, typically by breaking out of a support or resistance area.","https://academy.binance.com/ar/glossary/breakout","","","https://academy.binance.com/ar/glossary/breakout","2025-02-01",""
"ar-001","bridge","جسر","","","","","","","","","",""
"ar-001","bscscan","مستكشف BscScan","","","","BscScan هو مستكشف سلاسل بلوكشين لمستخدمي سلسلة BNB الذكية (BSC). تم تطويره من قِبل نفس الفريق المطوِر لمستكشف سلسلة بلوكشين Ethereum الشهير، Etherscan.","https://academy.binance.com/ar/glossary/bscscan","","","https://academy.binance.com/ar/glossary/bscscan","2025-02-01",""
"ar-001","btc","BTC","","","","","","","","","",""
"ar-001","btc-wallet-address","عنوان محفظة BTC","","","","عنوان محفظة BTC هو سلسلة فريدة من الحروف والأرقام التي تُستخدَم لإرسال واستلام المعاملات بعملة البيتكوين.","https://academy.binance.com/ar/glossary/btc-wallet-address","","","https://academy.binance.com/ar/glossary/btc-wallet-address","2025-02-01",""
"ar-001","buidl","BUIDL","","","","Originally derived from HODL, a term referring to keeping your heads down and focusing on building your product.","https://academy.binance.com/ar/glossary/buidl","","","https://academy.binance.com/ar/glossary/buidl","2025-02-01",""
"ar-001","bull-market","Bull Market","","","","A positive trend in prices of a market. It is widely used not only in the cryptocurrency space but also in the traditional markets","https://academy.binance.com/ar/glossary/bull-market","","","https://academy.binance.com/ar/glossary/bull-market","2025-02-01",""
"ar-001","burner-wallet","محفظة الحرق","","","","استكشف محافظ الحرق، ومحافظ العملات الرقمية المؤقتة التي يمكن للمستخدمين استخدامها للتفاعل بأمان مع تطبيقات البلوكشين التي يُحتمل أن تكون خطرة.","https://academy.binance.com/ar/glossary/burner-wallet","","","https://academy.binance.com/ar/glossary/burner-wallet","2025-02-01",""
"ar-001","buy-wall","Buy Wall","","","","A single huge buy order or the composition of multiple large buy orders at the same price in the order book of a particular market.","https://academy.binance.com/ar/glossary/buy-wall","","","https://academy.binance.com/ar/glossary/buy-wall","2025-02-01",""
"ar-001","bytecode","شفرة البايت","","","","","","","","","",""
"ar-001","byzantine-fault-tolerance","التسامح مع الخطأ البيزنطي","","","","","","","","","",""
"ar-001","byzantium-fork","انقسام (فورك) Byzantium","","","","","","","","","",""
"ar-001","candidate-block","كتلة المرشح","","","","كتلة المرشح | التعريف: كتلة مؤقتة تم إنشاؤها بواسطة عقدة تعدين (المُعدِّن) لإضافتها إلى بلوكشين لتلقي مكافآت الكتلة.","https://academy.binance.com/ar/glossary/candidate-block","","","https://academy.binance.com/ar/glossary/candidate-block","2025-02-01",""
"ar-001","candlestick","Candlestick","","","","A graph representation of price action that displays the open, close, high, and low points within a certain period.","https://academy.binance.com/ar/glossary/candlestick","","","https://academy.binance.com/ar/glossary/candlestick","2025-02-01",""
"ar-001","capitulation","Capitulation","","","","A period of strong selling activity, where investors give up their positions and sell their holdings as quickly as possible.","https://academy.binance.com/ar/glossary/capitulation","","","https://academy.binance.com/ar/glossary/capitulation","2025-02-01",""
"ar-001","celo","Celo","","","","","","","","","",""
"ar-001","censorship-resistance","Censorship-resistance","","","","The property of a cryptocurrency network that prevents any entity from altering transactions on it.","https://academy.binance.com/ar/glossary/censorship-resistance","","","https://academy.binance.com/ar/glossary/censorship-resistance","2025-02-01",""
"ar-001","central-bank","Central Bank","","","","A financial institution that acts as a monetary authority and manages a states currency, interest rates, and money supply.","https://academy.binance.com/ar/glossary/central-bank","","","https://academy.binance.com/ar/glossary/central-bank","2025-02-01",""
"ar-001","central-bank-digital-currency-cbdc","العملات الرقمية للبنوك المركزية","","","","العملات الرقمية للبنوك المركزية هي عملات رقمية رسمية يُصدرها البنك المركزي السيادي، ويمكن أن تكون هذه العملات للقطاع العام أو لقطاع الأفراد.","https://academy.binance.com/ar/glossary/central-bank-digital-currency-cbdc","","","https://academy.binance.com/ar/glossary/central-bank-digital-currency-cbdc","2025-02-01",""
"ar-001","central-processing-unit","Central Processing Unit (CPU)","","","","The part of a computer responsible for interpreting instructions of computer programs and executing operations.","https://academy.binance.com/ar/glossary/central-processing-unit","","","https://academy.binance.com/ar/glossary/central-processing-unit","2025-02-01",""
"ar-001","centralized","Centralized","","","","When the planning and decision-making mechanisms are concentrated in a particular point within a system.","https://academy.binance.com/ar/glossary/centralized","","","https://academy.binance.com/ar/glossary/centralized","2025-02-01",""
"ar-001","centralized-exchange","بورصة مركزية","","","","تعرّف على عالم منصات التداول المركزية وأسواق العملات الرقمية التقليدية ذات السيولة العالية وأدوات التداول المتقدمة واعتبارات المخاطر.","https://academy.binance.com/ar/glossary/centralized-exchange","","","https://academy.binance.com/ar/glossary/centralized-exchange","2025-02-01",""
"ar-001","cex","CEX","","","","","","","","","",""
"ar-001","chain-id","مُعرفّ السلسلة","","","","","","","","","",""
"ar-001","chatgpt","ChatGPT","","","","ChatGPT هو نموذج لمعالجة اللغة طورته OpenAI. ويُمثل تقدمًا كبيرًا في مجال معالجة اللغة الطبيعية (NLP).","https://academy.binance.com/ar/glossary/chatgpt","","","https://academy.binance.com/ar/glossary/chatgpt","2025-02-01",""
"ar-001","chrome","Chrome","","","","","","","","","",""
"ar-001","cipher","Cipher","","","","A method for encrypting and decrypting messages. Ciphers can be divided into symmetric or asymmetric, according to their key model.","https://academy.binance.com/ar/glossary/cipher","","","https://academy.binance.com/ar/glossary/cipher","2025-02-01",""
"ar-001","circulating-supply","Circulating Supply","","","","The best approximate number of cryptocurrency coins or tokens that are publicly available and circulating in the market.","https://academy.binance.com/ar/glossary/circulating-supply","","","https://academy.binance.com/ar/glossary/circulating-supply","2025-02-01",""
"ar-001","client","عميل","","","","","","","","","",""
"ar-001","cloud","Cloud","","","","In computer science, a shared pool of resources, which are made available to multiple users through the Internet.","https://academy.binance.com/ar/glossary/cloud","","","https://academy.binance.com/ar/glossary/cloud","2025-02-01",""
"ar-001","codefi","التداول والتمويل اللامركزي (CodeFi)","","","","","","","","","",""
"ar-001","coin","عملة","","","","A cryptocurrency or digital cash that is independent of any other platform, which is used as exchange of value.","https://academy.binance.com/ar/glossary/coin","","","https://academy.binance.com/ar/glossary/coin","2025-02-01",""
"ar-001","coinbase-pay","Coinbase Pay","","","","","","","","","",""
"ar-001","coingecko","CoinGecko","","","","","","","","","",""
"ar-001","cold-storage","التخزين البارد (غير متصل بالإنترنت)","","","","اكتشف أساسيات التخزين البارد: تعرَّف على ماهيته وكيف يحمي أرصدة عملاتك الرقمية.","https://academy.binance.com/ar/glossary/cold-storage","","","https://academy.binance.com/ar/glossary/cold-storage","2025-02-01",""
"ar-001","cold-wallet","محفظة باردة","","","","","","","","","",""
"ar-001","collateral","Collateral","","","","Pledging something of value against a loan to guarantee that the person taking the loan will complete repayment.","https://academy.binance.com/ar/glossary/collateral","","","https://academy.binance.com/ar/glossary/collateral","2025-02-01",""
"ar-001","colocation","Colocation","","","","A dedicated space in a data center belonging to stock exchanges which is shared with other entities such as high-frequency traders.","https://academy.binance.com/ar/glossary/colocation","","","https://academy.binance.com/ar/glossary/colocation","2025-02-01",""
"ar-001","commodity-futures-trading-commission","Commodity Futures Trading Commission (CFTC)","","","","US-based agency responsible for regulating derivatives, including options, swaps, and futures.","https://academy.binance.com/ar/glossary/commodity-futures-trading-commission","","","https://academy.binance.com/ar/glossary/commodity-futures-trading-commission","2025-02-01",""
"ar-001","compile","تجميع","","","","","","","","","",""
"ar-001","compound","بروتوكول Compound","","","","","","","","","",""
"ar-001","compound-interest","الفائدة المركّبة","","","","تشير الفائدة المركّبة إلى الفائدة المتراكمة على المبلغ الأصلي، بالإضافة إلى فائدة الفترات السابقة.","https://academy.binance.com/ar/glossary/compound-interest","","","https://academy.binance.com/ar/glossary/compound-interest","2025-02-01",""
